Company,Tag
Pujarafoods LLP,1
LUXE,1
Sapphire Foods India Pvt. Ltd.,1
MD Garments World,1
MARKET NINETY NINE PVT. LTD.,1
MARKS SPENCER ,1
Marks and Spencer Reliance I Pvt Ltd.,1
CITYMAX HOTELS INDIA PVT. LTD,1
NAVNIK GLOBAL FASHION LLP,1
Welcome To MINISO,1
MOBILE ZONE,1
ADITYA BIRLA FASHION AND RETAIL LIMITED,1
Pantaloons,1
Lifestyle international Pvt. Ltd,1
COMORIN FIBRES PRIVATE LIMITED,1
SOUTHERN POULTRY INDUSTRIES PVT LTD.,1
VENI FARMS PRIVATE LIMITED,1
VASU FARMS PRIVATE LIMITED,1
SHIVA EGG PRODUCTS PRIVATE LIMITED,1
HIMAJA POULTRIES PRIVATE LIMITED,1
MAHESH GARDENS PRIVATE LIMITED,1
NILU FARMS PVT. LTD,1
SOMANATHAN EXPORTERS PRIVATE LIMITED,1
SHIV FARM PRODUCTS LIMITED,1
EGGCITY HATCHERIES LIMITED,1
LYDIA MARKETING SERVICES PRIVATE LIMITED,1
WHITE LINE POULTRY PRODUCTS PRIVATE LIMI TED,1
EUREKHA HATCHERIES PRIVATE LIMITED,1
KIRTHIKA POULTRY FARMS PRIVATE LIMITED,1
WELFARE POULTRY PRIVATE LIMITED,1
DEEPIKA POULTRY FARMS PRIVATE LIMITED,1
SRI ABIRAMI POULTRY FARM PRIVATE LIMITED,1
TRITAAN EGG PRODUCTS LIMITED,1
S.G.S. POULTRY FARMS PRIVATE LIMITED,1
OVAL PARK AGRO TECH AND FOODS PRIVATE LI MITED,1
UDAYAKRISHNA POULTRY FARMS PRIVATE LIMITED,1
RAMAKRISHNA POULTRY PRIVATE LIMITED,1
SAITECH BIO VENTURES PRIVATE LIMITED,1
VARSHINI POULTRY FARMING PRIVATE LIMITED,1
SARASWATHI BREEDERS PRIVATE LIMITED,1
MANGALRAJ POULTRY FARMS PRIVATE LIMITED,1
A.A.POULTRY FARMS PRIVATE LIMITED,1
SELVAM HATCHERIES PRIVATE LIMITED,1
A.V.M.HATCHERIES POULTRY BREEDING RESEARCH CENTRE PRIVATE LIMITED,1
SURYA HATCHERIES PRIVATE LIMITED,1
UNIKAY HATCHERIES PRIVATE LIMITED,1
SUPREME POULTRY PRIVATE LIMITED,1
AMBAL POULTRY PRIVATE LIMITED,1
SRI VENKATAACHALAPATHY POULTRY FARM PRIVATE LIMITED,1
RAJA POULTRIES PRIVATE LIMITED,1
SREETHAM FRAGO LIMITED,1
AKP POULTRY FARMS PRIVATE LIMITED,1
P K M SWAMY HATCHERY PRIVATE LIMITED,1
PIONEER HATCHERIES PRIVATE LIMITED,1
SUGUNA FOODS PRIVATE LIMITED,1
SINITHA CHICK SPECIALITY PRIVATE LIMITED,1
GOWRI POULTRY PRIVATE LIMITED,1
HEMANTH POULTRY FARMS PRIVATE LIMITED,1
GHP POULTRRY (INDIA) LIMITED,1
CHAKRA POULTRY FARMS PRIVATE LIMITED,1
K M POULTRY PRIVATE LIMITED,1
THIRUMURUGAN POULTRY FARMS PRIVATE LIMIT ED,1
A.M. POULTRY FARMS PRIVATE LIMITED,1
CHINDU POULTRY FARM PRIVATE LIMITED,1
ALUNKAL POULTRY FARMING AND HATCHERIES PRIVATE LIMITED,1
VANGILI HATCHERIES PRIVATE LIMITED,1
PVRSM BROILERS AND HATCHERIES PRIVATE LIMITED,1
ANNAI POULTRY FARMS PRIVATE LIMITED,1
SRI ANNAI HATCHERIES PRIVATE LIMITED,1
K K HATCHERIES PRIVATE LIMITED,1
INDIAN POULTRIES PRIVATE LIMITED,1
D.R.POULTRY FARMS PRIVATE LIMITED,1
D.R.EGG EXPORTS PRIVATE LIMITED,1
NOVARY POULTRY PRIVATE LIMITED,1
P.S.S. POULTRY FARM PRIVATE LIMITED,1
SPF POULTRIES (UDUMALAI) PRIVATE LIMITED,1
POORANI HATCHERIES PRIVATE LIMITED,1
BEST BROILER FARMS INDIA PRIVATE LIMITED,1
BEST BREEDING FARMS INDIA PRIVATE LIMITED,1
BEST HATCHERIES COIMBATORE PRIVATE LIMITED,1
R S BREEDING FARM AND HATCHERIES PRIVATE  LIMITED,1
POORANI POULTRY FARM PRIVATE LIMITED,1
SHANTHI HATCHERIES PRIVATE LIMITED,1
SASTIKUMAR FARMS AND FOODS PRIVATE LIMITED,1
NIVETHA POULTRY FARM PRIVATE LIMITED,1
PKV BIO FAARM PRIVATE LIMITED,1
PIONEER BREEDING AND HATCHERIES PRIVATE LIMITED,1
DADDYS POULTRY FARM INDIA PRIVATE LIMITED,1
N R S POULTRY FARMS PRIVATE LIMITED,1
SENTHILANDAVAR POULTRY FARMS PRIVATE LIMITED,1
SERUKKUR POULTRY FARM PRIVATE LIMITED,1
SHANTHI FORTUNE INDIA PRIVATE LIMITED,1
PREETHIKA EMU EXIM PRIVATE LIMITED,1
ANURAGHA POULTRIES AND BREEDERS PRIVATE LIMITED,1
PAVITHA POULTRY FARM PRIVATE LIMITED,1
GLORY EMU HATCHERIES PRIVATE LIMITED,1
SRI KARUMANNAN POULTRY FARM PRIVATE LIMITED,1
RANA BREEDING FARMS INDIA PRIVATE LIMITED,1
RASI POULTRIES PRIVATE LIMITED,1
SHANTHI FEEDS PRIVATE LIMITED,1
AVIAGEN INDIA POULTRY BREEDING COMPANY PRIVATE LIMITED,1
BHARANI EGGSELL PRIVATE LIMITED,1
CHELLAM POULTRY FARM PRIVATE LIMITED,1
THIRUMAGAL POULTRY FARMS PRIVATE LIMITED,1
VC EMU FAARMS INDIA LIMITED,1
GRS EMU HATCHERIES AND BREEDING FARMS PR IVATE LIMITED,1
GNANASHRISTI FARMS INDIA PRIVATE LIMITED,1
VISWAS EMU FARMS INDIA PRIVATE LIMITED,1
SUPREME HATCHERIES AND PROTEINS INDIA PRIVATE LIMITED,1
PONNI HATCHERIES PRIVATE LIMITED,1
RPS FARMS AND EXPORTS PRIVATE LIMITED,1
SHRI VEERA KUMARASAMY POULTRY FARM PRIVATE LIMITED,1
SUSI EMU FARMS (INDIA) PRIVATE LIMITED,1
AISHWARYA BROILERS PRIVATE LIMITED,1
JEEVAN EMU CARE INDIA PRIVATE LIMITED,1
QUEEN EMU FARMS INDIA PRIVATE LIMITED,1
