xmin,ymin,xmax,ymax,Object,label
583,112,801,136,PO Box 3149,0
1392,114,1588,161,Invoice,0
432,148,545,200,CIL,0
583,150,976,182,"Canyon Lake, TX 78133",0
582,198,847,218,830-935-4430 Phone,0
119,212,548,238,INDUSTRIAL SERVICES INC.,0
1285,207,1338,228,Date,0
1449,206,1550,226,Invoice #,0
583,228,820,248,830-935-4048 FAX,0
260,268,547,285,SPECIALIZING IN SOLUTIONS,0
1255,270,1367,291,9/13/2019,0
1464,270,1534,291,12379,0
183,382,253,402,Bill To,0
944,381,1031,406,Ship To,0
157,433,333,457,Appleton Group,0
920,433,1096,458,Appleton Group,0
158,461,417,486,Attn: Accounts Payable,0
920,460,1245,481,13639 Aldine Westfield Road,0
157,489,370,514,9377 West Higgins,0
921,489,1135,513,"Houston, TX 77039",0
158,518,383,542,"Rosemont, IL 60018",0
158,546,410,566,Need to email invoices,0
162,670,349,690,Customer Phone,0
446,670,588,690,800-621-1506,0
177,707,334,727,Customer Fax,0
453,707,581,727,2817743755,0
483,756,629,778,P.O. Number,0
756,756,828,777,Terms,0
986,756,1036,782,Ship,0
1193,757,1229,778,Via,0
1420,756,1490,777,F.O.B.,0
470,820,639,841,2.401E+11,0
756,820,830,841,Net 30,0
956,820,1066,841,09-11-2019,0
1161,820,1261,840,delivered,0
166,882,258,907,Quantity,0
378,882,494,903,Item Code,0
787,882,911,906,Description,0
1201,882,1321,903,Price Each,0
1443,882,1530,903,Amount,0
289,933,315,953,10,0
333,932,521,953,Industrial Adhesi,0
556,933,917,954,Coremaster FD CM30 12/Carton,0
1290,932,1365,954,106.2,0
1478,933,1574,956,"1,062.00",0
302,961,313,981,1,0
332,960,513,986,Freight Cost Inc,0
557,961,637,986,Freight,0
1303,961,1366,981,66,0
1513,961,1575,981,66,0
106,1820,427,1845,Thank you for your business.,0
1083,1837,1185,1871,Total,0
1466,1857,1575,1880,"$1,128.00",0
