xmin,ymin,xmax,ymax,Object,label
326,146,554,172,ANNA VILAAS,1
242,191,634,218,VELACHERY- CHENNAI,2
317,238,562,265,PHOENIX MALL,2
216,284,659,311,GSTIN : 33ADTFS5376H1ZH,0
242,335,635,374,COUNTER SALE,0
238,407,641,455,TOKEN NO:4,0
4,487,346,524,Bill No :AC57311,4
4,540,300,581,Date 26/Sep/2019,6
4,587,195,612,Salesman :-,0
412,549,628,574,Time :11:31:13,6
3,682,72,713,Item,7
463,688,532,714,Rate,0
589,690,638,723,Qty,0
748,689,805,715,Amt,0
3,767,370,804,Ghee Sambar Vada,8
429,775,530,805,67,0
701,776,802,808,67,0
2,882,461,916,ENo of Item : 1 No Qty :1,0
2,938,143,969,K-0003,0
326,997,473,1027,Subtotal,0
742,998,845,1029,67,0
325,1051,436,1081,CGST,0
768,1055,845,1085,1.68,0
324,1107,434,1136,SGST,0
766,1110,842,1139,1.68,0
327,1161,510,1195,Round Off,0
753,1182,844,1196,-0.35,0
323,1272,559,1305,Total Amount,9
741,1274,844,1308,70,10
226,1381,608,1405,THANK YOU VISIT AGAIN,
0,1409,200,1437,Username : bill,
1,1447,492,1473,System Name : DESKTOP-8D1TB9U,
32,1498,841,1552,Amount To Pay : Rs 70.00,
