xmin,ymin,xmax,ymax,Object,label
24,97,564,124,Welcome to Belgian Waffle,1
634,106,735,132,Bridg,1
648,165,439,157,P F R M- ---,0
44,189,345,213,nype : TAKE AWAY,0
44,282,320,306,Bill No. :1735,4
41,328,314,354,Delivery Boy:,0
41,376,560,406,Date:2019-11-24 17:55:21,6
42,424,166,447,Kots:0,0
46,520,138,544,Item,7
354,524,424,558,Qty,0
568,531,638,556,Amt,0
37,614,233,641,Americano,8
643,652,541,628,L999,0
37,711,244,737,Total Qty:,0
39,758,224,784,SubTotal:,9
640,795,538,771,L999,10
35,854,140,876,GST5,
559,866,642,890,3.33,
101,904,293,927,CGST 2.5,
430,910,508,934,1.67,
100,950,293,974,SGST 2.5,
508,982,428,958,L9T,
32,1046,240,1070,Round Of:,
639,1082,558,1058,0,
32,1093,444,1124,Total Invoice Value,
32,1189,347,1218,Payment Detail:,
30,1283,112,1307,Cash,
660,1326,556,1302,000L,
13,1374,706,1423,"We Value your feedback, write us",
11,1420,527,1472,infothebelgianwaffle.co,
10,1469,460,1510,Thank you visit again,
31,1560,243,1597,Powered by,
313,1575,439,1600,POSist,
