xmin,ymin,xmax,ymax,Object,label
224,249,683,269,TAX INVOICE/BILL OF SUPPLY,0
191,298,703,317,BIG BAZAAR FUTURE RETAIL LTD,1
227,345,688,370,"PHOENIX MARKET CITY,NO.142",2
194,400,724,417,"VELACHERY, VELACHERY MAIN ROAD",2
318,444,601,470,CHENNAI:- 600042,2
305,494,619,520,Tel No: 8088420084,0
251,545,658,569,HELPLINE: 1800 266 2255,0
92,599,816,615,GST TIN:33AADCB 1093N1ZN W.E.F 01.07.2017,0
220,641,713,668,CIN NO:L51909MH2007PLC268269,0
449,741,678,769,QTY DISC AMT,0
451,791,685,819,CGSTX SGSTX,0
11,749,184,782,ITEM DESC,7
735,734,853,766,NET AMT,0
14,797,79,836,HSN,0
186,798,237,830,UOM,0
719,882,765,916,Rs.,0
613,933,684,967,0,0
739,930,859,965,1199,0
18,944,382,979,"BUF, SHRT,M/40-RF,GRE",8
190,995,241,1028,Pcs,0
494,937,501,970,1,0
16,993,99,1031,6205,0
612,1036,684,1066,0,0
617,1085,667,1118,2.5,0
617,1135,687,1167,0,0
618,1185,669,1217,2.5,0
620,1233,688,1267,0,0
621,1283,673,1317,2.5,0
621,1333,690,1367,0,0
756,1032,861,1064,499,0
16,1045,312,1075,"DJC, TSRT,M,OAMEL",8
191,1094,243,1127,Pcs,0
495,1038,503,1072,1,0
493,1087,544,1121,2.5,0
497,1138,505,1171,1,0
494,1187,545,1221,2.5,0
499,1237,508,1270,1,0
497,1286,549,1320,2.5,0
501,1337,509,1369,1,0
17,1095,103,1135,6109,0
21,1143,316,1184,"SPK,GRTSH,M,MINT",8
193,1194,244,1226,Pcs,0
759,1133,863,1163,499,0
18,1193,104,1233,6109,0
18,1239,370,1279,"BR FP 34TH GRY ML,M",8
760,1232,866,1266,349,0
21,1293,105,1336,6103,0
28,1343,336,1378,"SHA, NHJKT,M,BEIGE",8
198,1393,249,1427,Pcs,0
195,1294,247,1327,Pcs,0
748,1331,866,1364,1499,0
26,1391,107,1429,6202,0
29,1443,337,1482,"SHA, KUPJY,M,WHITE",8
199,1494,250,1528,Pcs,0
623,1434,693,1468,0,0
624,1485,675,1518,2.5,0
626,1533,695,1567,0,0
764,1432,869,1464,799,0
31,1494,110,1535,6203,0
32,1541,323,1576,APPLE GALA LO0SE,8
30,1593,107,1628,8081,0
504,1436,511,1472,1,0
501,1486,550,1520,2.5,0
430,1539,517,1570,0.585,0
784,1532,872,1564,98.87,0
202,1594,237,1631,Kg,0
33,1641,396,1678,BRIT MARIE GOLD 200g,8
35,1691,254,1726,1905 Pcs,0
34,1741,397,1777,SUND RIR CREAMY 924g,8
204,1792,255,1825,Pcs,0
627,1633,696,1666,0,0
786,1632,872,1663,23,0
509,1735,517,1769,1,0
612,1733,873,1763,30.00- 255.00,0
34,1791,114,1828,2008,0
35,1839,382,1875,BRIT CHS SLICE 765g,8
772,1832,875,1864,350,0
35,1895,118,1932,4063,0
29,1941,325,1974,PPBT JAMUN 250mI,8
209,1991,261,2025,Pcs,0
631,1833,700,1867,0,0
631,1885,646,1918,6,0
632,1933,717,1967,4.00-,0
207,1893,258,1925,Pcs,0
512,1936,519,1969,1,0
791,1932,877,1965,26,0
37,1991,119,2034,2202,0
39,2041,326,2073,PPBT JAMUN 250ml,8
514,2036,522,2069,1,0
633,2033,718,2066,4.00-,0
792,2031,879,2064,26,0
39,2089,119,2129,2202,0
209,2091,261,2124,Pcs,0
636,2133,703,2167,0,0
636,2183,652,2218,6,0
637,2234,722,2269,7.00-,0
40,2141,385,2172,VCKS CG DRP MNL 20P,8
516,2135,523,2169,1,0
794,2131,881,2165,20,0
38,2191,122,2227,3004,0
212,2191,264,2226,Pcs,0
43,2237,370,2277,AMUL CHEES SL 200g,8
43,2291,105,2328,406,0
42,2339,334,2380,RED BULL 4250m l,8
40,2390,123,2433,2202,0
45,2441,372,2473,DOZEN EGGS CKN 12P,8
57,2495,267,2524,4070 Pcs,0
46,2537,391,2573,PAPBT AAMPANA 250ML,8
48,2589,268,2625,2202 Pcs,0
47,2637,410,2676,MX PRO CH FUDGE 450g,8
512,2237,524,2269,1,0
782,2234,882,2265,115,0
194,2293,247,2325,Pcs,0
638,2335,707,2366,0,0
656,2383,690,2418,26,0
639,2435,708,2467,0,0
780,2332,883,2366,435,0
212,2390,266,2424,Pcs,0
518,2386,546,2421,14,0
799,2432,884,2465,78,0
521,2537,528,2570,1,0
640,2533,726,2568,4.00-,0
800,2532,886,2565,26,0
521,2636,528,2670,1,0
642,2635,710,2667,0,0
783,2634,886,2666,670,0
47,2689,127,2729,2106,0
217,2691,269,2724,Pcs,0
46,2737,411,2771,Plain Cloth SB 20x20,8
50,2793,128,2825,4202,0
218,2789,270,2824,Pcs,0
131,2840,270,2874,SUBTOTAL,0
642,2735,711,2767,0,0
804,2731,889,2766,19,0
767,2834,888,2867,6985.87,0
132,2942,218,2975,TOTAL,9
132,2992,201,3027,HDFC,0
769,2935,889,2967,6985.87,10
768,2986,890,3019,6985.87,0
240,3141,873,3174,Your Mobile Number,0
346,3188,696,3220,9841131246,0
205,3240,872,3274,Has Been Registered,0
242,3299,767,3321,with Big Bazaar,0
137,3392,770,3421,PIECES PURCHASED: 19 DISC ITEMS: 5,0
208,3442,882,3479,TOTAL SAVING: 8100,0
350,3540,489,3572,BASE AMT,0
227,3589,472,3624,CGST 6274.97,0
227,3640,471,3674,SGST 6274.97,0
580,3538,699,3572,TAX AMT,0
579,3588,684,3621,336.83,0
581,3638,680,3671,374.11,0
226,3540,276,3576,GST,0
176,3909,843,3940,Tax Invoice Number - 2541020000027592,0
795,4055,951,4091,Auth Sign,0
247,4158,403,4192,CH:526537,0
159,4208,332,4239,TILL NO.20,0
229,4255,347,4287,St:2541,0
194,4304,827,4337,Net Amount is inclusive of all taxes,0
178,4350,846,4386,Total Savings add to discount over MRP,0
283,4411,734,4437,and additional Promotions.,0
546,4156,756,4191,Palani Settu,0
387,4206,792,4240,MEMO NO.0027592 Tr:4029,4
423,4254,704,4289,27-12-2019 20:59,6
246,4503,737,4536,BBPC DEC OFFER,
317,4551,701,4588,THIS WINTER,
213,4600,806,4635,ENROL/RENEW GET,
140,4650,843,4684,BENEFIT UPTO RS 1500,
138,4698,382,4740,OFFER 1,
488,4696,877,4735,- 31 DEC 2019,
290,4743,699,4791,T C Apply,
101,4845,910,4888,Download Future Pay App,
102,4895,911,4932,Get Cashback Rewards on,
175,4954,838,4984,your shopping Get,
57,4991,912,5030,Exclusive Offers Deals,
105,5039,902,5080,"To Install, Give A Call",
182,5090,842,5131,at 8010 35 000 0 Now,
