xmin,ymin,xmax,ymax,Object,label
207,315,677,339,Burger King India Pvt. Ltd.,1
83,359,823,381,"Unit No. S-40, Second Floor, Phoenix Marke",2
243,402,658,426,"No.142, Velachery Chennai",2
331,444,575,469,RETAIL INVOICE,0
349,486,558,519,"04466653840,",0
244,575,648,599,GST NO. 33AAFCB7044K2ZN,0
86,662,595,684,Invoice No. 22040 002 0027555,4
297,746,577,771,Order282,0
86,833,207,860,Host: M,0
87,875,225,904,Order282,0
652,827,825,855,26-12-2019,6
705,871,826,898,9:28 PM,6
741,917,826,942,20283,0
86,966,438,989,Order Type: Dine In,0
725,1043,828,1073,210,0
88,1051,414,1075,Crispy Chicken 3IN1,8
105,1094,190,1122,Items,0
104,1140,350,1164,CRISPY CHICKEN,0
106,1182,387,1206,New Cheesy Fries,0
106,1224,258,1250,Reg Pepsi,0
107,1268,440,1290,BK SUNDAE CHOCOLATE,0
90,1356,222,1382,Subtotal,0
726,1347,829,1373,210,0
91,1441,317,1465,CGST 2.5 Tax,0
762,1430,831,1457,5.25,0
91,1530,316,1553,SGST 2.5 Tax,0
762,1519,829,1545,5.25,0
93,1614,249,1640,Total Tax,0
748,1605,832,1630,10.5,0
93,1743,535,1763,Dine In Total,9
623,1734,829,1759,220.5,10
95,1829,251,1853,Plutus CC,
679,1819,834,1844,Rs.220.50,
130,1873,322,1897,Auth:102207,
150,1999,784,2018,Service Category: Restaurant Service,
345,2040,572,2065,SAC Code 9963,
239,2084,696,2105,CIN: U55204MH2013FTC249986,
363,2167,573,2194,Check Closed,
170,2217,750,2237,Share your feedback get 10 off,
171,2258,752,2280,Visit: www.ind.tellburgerking.com,
331,2298,611,2323,Store ID : 22040,
226,2342,700,2365,Code :314-822-220-160-223-0,
124,2381,803,2410,Write Discount code after Survey below.,
298,2430,378,2458,Code:,
209,2474,736,2497,Handover the bill for Discount,
227,2515,699,2545,Discount vaild for 30 days.,
