xmin,ymin,xmax,ymax,Object,label
79,159,665,235,COLD STONE C,0
113,311,775,328,Cold Stone Creamery Pvt Lt.,1
134,351,768,366,"Ground floor old door 66 new door 142,",1
199,378,705,395,"PMC, Velacheri, Chennai-600042",1
286,404,623,426,Ph No. 0446665 0313,0
117,436,780,464,Email:coldstone.pmcchennaiin.tablez.com,0
321,506,599,535,TAX INVOICE,0
61,581,106,595,Inv,3
145,570,435,596,: STNO1A1920126976,4
543,576,685,595,19-Nov-19,6
61,643,124,657,Name,0
270,637,569,663,": CS Creamery, PMC,",0
593,643,621,660,Ch,0
59,676,158,687,Mobile,0
258,676,262,689,:,0
215,702,389,723,: PMC TN IND,0
284,735,443,755,: RAM KUMAR,0
280,767,355,787,": G, 11",0
59,807,340,823,Sr Barcode/Name,7
59,707,176,720,Address,0
59,739,160,753,Server,0
60,771,143,787,Table,0
513,771,577,788,Time,5
603,775,606,788,:,5
630,770,707,788,14:22,6
507,807,568,833,oty,0
483,840,545,857,1,0
630,807,727,823,Amount,0
60,843,72,862,1,0
130,842,428,859,Cake Batter Confe,8
617,839,712,857,199,0
131,876,290,893,tti Slice,8
187,945,358,959,Sub Total:,0
622,939,718,956,199,0
189,980,380,994,CGST 2.50,0
659,970,721,990,4.98,0
189,1014,382,1029,SGST 2.50,0
191,1046,379,1061,Round Off :,0
661,1004,724,1023,4.98,0
687,1035,727,1056,0.04,0
196,1078,314,1106,Total :,9
632,1071,730,1089,209,10
65,1122,135,1138,CASH,
634,1108,732,1126,210,
66,1156,171,1172,REFUND,
653,1150,735,1160,-1,
69,1224,263,1239,SAC: 996331,
73,1291,463,1303,GSTIN: 33AAGCC0109H1Z9,
76,1355,462,1366,Authorised Signatory..,
171,1415,829,1417,Feedback: info.coldstonein.tablez.cc,
176,1472,643,1481,Connect with us on Facebook,
178,1497,608,1512,www.fb.com/ColdStoneIndia,
