xmin,ymin,xmax,ymax,Object,label
149,312,653,329,Infiniti Retail linited Trading as,1
403,394,474,419,CROMA,1
374,480,536,504,Tax Invoice,0
284,569,536,591,Chen-Phoenix-A097,2
286,655,537,677,Chen-Phoenix-A097,2
317,741,523,764,Chennai-600042,2
272,828,570,848,Regian:Tamil Nadu-33,2
229,915,615,933,Phone Number : 07207666000,0
260,1001,587,1021,6STIN :33AACCV1726H1ZL,0
69,1092,375,1110,InvNo:SLA097100114401,4
456,1083,782,1102,Tine:14-12-2019 6:51PM,6
67,1134,214,1158,Till No:10,0
67,1178,349,1199,Created By:Suresh M,0
68,1264,466,1282,Customer Nane :evangeline .,0
308,1302,695,1320,00pevangeline67gmail.com,0
294,1345,441,1369,8189913428,0
294,1388,425,1414,Velachery,0
294,1432,394,1455,Chennai,0
295,1474,442,1498,Pin:600042,0
190,1519,487,1539,Region:Tamil Nadu-33,0
74,1608,316,1637,Item Description,7
253,1647,293,1673,Tax,0
356,1645,398,1673,Qty,0
74,1651,203,1676,Item Code,0
491,1641,563,1669,Price,0
611,1639,742,1664,Total Ant,0
73,1692,788,1706,Deliv Type DenoY/N InstY/N Delivery DateTime SN,0
73,1737,189,1760,HSN/SACH,0
75,1781,129,1805,IMEI,0
74,1824,296,1846,Customer Region,0
75,1910,535,1926,Targus U660 Optical Mouse Black,8
285,1948,357,1974,58/6R,0
77,1953,159,1977,217771,0
405,1945,477,1971,1,0
525,1943,611,1967,299,0
705,1939,791,1963,299,0
76,1995,611,2011,CSH N N 14-12-2019 10:00AM 10:00AM,0
76,2039,130,2063,8471,0
77,2167,177,2192,Total :,9
706,2154,793,2179,299,10
378,2290,600,2312,PAYMENT DETAILS,
452,2374,540,2399,500,
454,2418,541,2443,201,
79,2382,147,2406,Cash:,
80,2425,343,2447,Cash Amt Returned:,
82,2597,241,2622,Tax Summary,
83,2638,767,2654,Tax Type Tax Code Tax Rate Total Amt Tax Amt,
381,2676,423,2702,9,
82,2683,109,2709,CG,
216,2681,243,2705,5R,
545,2674,618,2698,299,
741,2669,809,2695,22.81,
82,2726,108,2751,SG,
216,2723,243,2749,6R,
381,2719,424,2746,9,
545,2716,618,2741,299,
740,2712,809,2738,22.81,
82,2768,151,2792,Total,
681,2757,753,2782,45.62,
82,2811,513,2829,PRICES INCLUSIVE OF ALL TAXES,
83,3027,485,3046,CIN : 031900MH2005PLC158120,
83,3112,751,3127,"Regd. Office - Unit No. 701 702, 7th Floor,",
85,3152,586,3174,"Kaledonia, Sahar Road,Andheri East,",
84,3240,366,3261,"Munbai 400069, India",
85,3327,542,3345,Thank you for shopping with us.,
85,3456,695,3472,"Buy yourself an electronics life, shop at",
86,3548,277,3565,Vww.croma.com,
86,3628,547,3646,Email:customersUpportcroma.coR,
253,3941,780,3967,OSLAO 9 7100114401 a,
