xmin,ymin,xmax,ymax,Object,label
260,343,689,281,TAX INVOICE,0
243,448,755,366,Jubilant FoodWorks Limited,1
444,447,603,455,PAID,0
201,610,864,491,"FC-10 , Food Court Area ,3rd Floor",2
132,673,410,647,Chennai-60042,2
541,581,955,520,PH: -18602100000 State,0
474,646,635,643,Code:33,0
446,702,685,681,044-30083597,0
307,835,873,737,Invoice Number:66377/19/62882,4
267,894,582,858,Orde:r:63,0
293,941,488,930,12/18/2019,6
299,988,726,926,Server: J Nivethitha .,0
795,824,937,828,5:03 PM,6
507,1041,781,1014,Dine In,0
579,1084,736,1075,srinivas,0
424,1207,818,1157,1 Rej NHT DblChe Mar,8
417,1264,829,1201,3 Sachet Sachet 0.9,8
913,1098,1053,1101,185.00-,0
961,1137,1043,1153,2.85,0
390,1368,621,1351,Sub ot,0
372,1424,570,1412,CGST 2.5,0
381,1471,698,1433,SGST/UTGT 2.5,0
394,1517,769,1466,GST 18-SIST9XCGST9,0
806,1274,1033,1257,187.85,0
1014,1276,1096,1290,4.7,0
1025,1323,1106,1336,4.7,0
1035,1370,1119,1385,0,0
446,1606,633,1603,Total,9
467,1653,569,1665,Cards,0
894,1502,1088,1495,"197,25",10
978,1535,1093,1543,197.25,
479,1749,597,1758,Due,
1018,1626,1123,1641,0,
414,1860,1198,1719,"ETIN:33AABC01821C1ZI,PAN No.:AABCD1821C",
717,1845,878,1843,HSN:9963,
438,1959,1141,1829,Order online at www.dominos.co.in or,
448,2004,1210,1865,download the new Dominos app. We accept,
460,2055,1244,1909,"Credit Card. Debit Cards, Cash and PayTM",
520,2084,1224,1962,R Both on Dine-In and Delivery Orders,
559,2120,1303,1984,Oregano and Chilli Flakes sachets serv,
553,2181,1314,2031,along wi:h your order are for immediate,
508,2226,1325,2080,gonsumption only. Please do not store for,
718,2235,1086,2183,"future consumption,",
918,129,948,396,Dominos Pizza,
999,574,1054,846,Dominos Pizza,
1128,1019,1157,1285,Dominos Pizza,
1237,1455,1263,1722,Dominos Piza,
1337,1894,1366,2164,Dominos Pizza,
117,593,85,325,Dominos Pizza,
224,1045,194,774,Dominos Pizza,
328,1484,299,1217,Dominos Pizza,
427,1919,403,1656,Diminos Pizza,
533,2357,545,2227,Domino,
