xmin,ymin,xmax,ymax,Object,label
245,188,678,222,TAX INVOICE,0
207,287,721,319,Jubilant Foodworks Limited,1
386,335,539,370,PAID,0
51,433,863,466,"Phoenix Market City,Chennai,Unit No G 13",2
49,487,842,521,"Ground Floor,NewDoor 142,Velachery600042",2
317,535,694,566,PH:- State Code:33,0
347,585,584,619,044-30083412,0
182,685,756,712,Invoice Number:71059/19/48574,4
130,736,443,770,Order:27,0
144,787,336,819,11/22/2019,6
141,836,482,878,Server: Gracy M.,0
658,781,795,814,3:06 PM,6
291,934,640,965,Carry Out,0
453,982,489,1016,NS,0
374,1031,571,1066,7851526656,0
209,1128,471,1164,1 COOKIE DLGHT,1
406,1177,550,1222,HSN 9963,0
734,1127,831,1159,99,0
147,1282,376,1316,SubTot,0
117,1333,319,1366,CGST 2.5,0
118,1383,436,1412,SGST/UTGST O 2.5,0
118,1433,493,1461,GST18-SGST9CGST9,0
607,1276,800,1309,99,0
775,1325,853,1357,2.48,0
778,1373,855,1405,2.48,0
776,1423,856,1454,0,0
150,1531,334,1564,Total,9
161,1581,238,1615,Cash,0
576,1526,804,1558,103.96,10
685,1573,798,1606,103.96,
152,1682,265,1716,Due,
705,1673,806,1706,0,
64,1781,861,1805,"GSTIN:33AABCD1821C1ZI,PAN No.:AABCD1821C",
86,1877,881,1908,Feedback:customercaredunkinjulbfood.com,
