xmin,ymin,xmax,ymax,Object,label
215,316,656,446,Galitos,0
280,462,619,484,FLAME GRILED CHICKEN,0
349,494,583,524,Galitos,1
89,550,843,567,"Unit No: UG-41,PMC,Old Door.No.66, New",2
178,587,755,614,"Door No. 142, Velachery,Chennai",2
408,622,517,642,Ph No.,0
547,658,656,682,Email:,0
305,738,629,769,TAX INVOICE,0
47,849,480,869,Inv : LTN02A1920013472,4
606,846,778,868,14-Nov-19,6
44,925,122,947,Name,0
294,920,686,950,": Galitos, PMC,Chennai",0
45,961,162,984,Mobile,0
272,966,275,981,:,0
45,999,343,1020,Address : IN IND,0
300,1033,383,1059,: BABU,0
310,1071,384,1101,": G,A1",0
48,1114,362,1141,Sr Barcode/Name,7
48,1035,164,1057,Server,0
47,1073,142,1096,Table,0
564,1070,640,1093,Time,5
706,1070,800,1091,16:19,6
555,1112,631,1145,Qty,0
526,1152,601,1174,1,0
702,1112,819,1133,Amount,0
125,1156,341,1176,BORIE ROLLS,8
686,1152,800,1174,350,0
124,1193,365,1214,MILD BASTING,8
405,1192,462,1214,GAL,8
127,1229,418,1258,Bottomless Coke,8
526,1228,601,1251,1,0
686,1229,800,1251,130,0
189,1310,376,1330,Sub Total:,0
686,1307,801,1329,480,0
188,1348,402,1368,CGST 2.50,0
190,1386,402,1407,SGST 2.50,0
188,1423,317,1443,Total :,9
707,1346,801,1367,12,0
707,1384,801,1406,12,0
685,1420,801,1442,504,10
686,1463,801,1486,404,
685,1501,800,1523,100,
48,1466,105,1489,COD,
47,1503,223,1525,GIFT CARD,
69,1578,302,1598,SAC : 996331,
48,1616,501,1636,GSTIN : 33AAFCG7385L1Z5,
48,1653,582,1674,CIN : U15400KL2014PTC037284,
65,1726,476,1755,Authorised Signatory.,
78,1802,273,1812,Thank-you,
386,1801,589,1829,Visit Again,
