xmin,ymin,xmax,ymax,Object,label
173,121,748,259,giobus,0
768,295,156,77,sngoj6,0
352,271,556,317,Tax Invoice,0
268,329,637,360,Globus Stores Pvt Ltd,1
52,376,831,407,"Phoenix Market City,F-31, Indira Gandhi Naga",2
49,420,263,465,"r, Velachery",2
154,470,738,505,",Chenna i, Tamil Nadu,600042,India.",2
257,521,632,556,Phone:IN-04461153004,0
255,569,636,612,GSTIN:33A4BCG357901Z3,0
54,619,317,660,Duplicate Ng 0,0
63,666,547,711,Invoide We319/047/05/002540,4
55,722,430,758,Cust. Name SAMYUKDA K,0
55,771,513,800,Cust.ContactNo:7200665999,0
55,818,260,851,Cust.GSTIN :,0
56,867,443,898,Card Num :1111xXXx7405,0
56,916,319,948,Counter No :-05,0
55,966,524,1001,Date :-18712/2019-20:24:07,5
56,1008,412,1056,Cashier No :-Emp4783,0
58,1066,410,1104,Ref :04705 181219/0,0
59,1264,882,1292,Item Code/Taxes HSN Code Mrp Qty Disc Total,0
59,1363,215,1395,3447348,8
58,1412,173,1453,Styler,0
58,1460,105,1495,PR:,0
113,1511,428,1549,"CGST 2,50 11.42",0
306,1361,887,1391,61091000 999. 1.0 519. 479.52,0
313,1453,427,1498,456.68,0
335,1649,459,1691,479.52,0
308,1753,890,1783,71170000 99.0 1.0 33.0 66.00,0
61,1756,218,1788,3346729,8
61,1806,160,1840,Style:,0
61,1854,107,1890,PR:,0
182,1938,114,1905,190,0
221,1948,434,1990,150 0.96,0
443,1940,342,1897,96,0
63,2153,220,2185,3367576,8
62,2204,161,2237,Style:,0
62,2251,109,2286,PR:,0
114,2297,441,2337,SGST 2.50 1142,0
114,2339,433,2384,CGT 2.50 11.42,0
311,2151,893,2181,61091000 999. 1.0 519. 479.52,0
329,2249,432,2282,456.68,0
66,2536,234,2578,3426716,8
65,2594,164,2628,Style:,0
66,2643,113,2677,PR:,0
182,2730,109,2690,ISIS,0
119,2693,434,2726,SGST 2.50 6.85,0
753,2473,177,2368,sngeib,0
313,2541,895,2573,61091000 599. 1.0 311. 287.52,0
333,2640,437,2676,273.82,0
340,2833,455,2877,287 52,0
316,2938,897,2968,71170000 99.0 1.0 33.0 66.00,0
66,2937,231,2982,327341,8
68,2992,179,3024,Style:,0
66,3039,114,3074,PR:,0
121,3086,191,3121,CGST,0
122,3135,315,3168,SGST 1.50,0
333,3034,420,3071,64.08,0
372,3134,439,3168,0.96,0
453,3269,367,3232,00 99,0
672,3319,900,3362,779. 719.52,0
238,3370,70,3328,D8699E00,0
329,3428,452,3465,685.26,0
190,3520,116,3475,193,0
125,3482,440,3516,CGST 2.50 17.13,0
69,3383,157,3416,Style,0
69,3434,117,3468,PR:,0
247,3531,440,3565,2.5017.13,0
191,3566,124,3532,ISIS,0
73,3725,226,3768,3346761,8
73,3775,172,3821,Style,0
73,3831,120,3866,PR:,0
816,3722,903,3754,66,0
332,3826,426,3865,64.08,0
255,3877,319,3910,1.5,0
195,3962,127,3928,IS9S,0
255,3927,322,3960,1.5,0
444,3909,374,3875,960,0
462,3963,374,3925,96 0,0
485,4058,377,4023,0 9,0
613,4119,909,4147,1.0 519 479.52,0
76,4121,250,4164,3447349,8
79,4176,164,4207,Style,0
79,4223,124,4256,PR:,0
360,4120,567,4157,91000999,0
458,4252,400,4213,89,0
265,4264,448,4307,.50 11.42,0
258,4321,449,4353,2.50 11.42,0
365,4420,470,4452,479.52,0
81,4620,306,4650,Tax Summary :,0
352,4658,878,4697,GST Rete Base Amt TaxAmt,0
576,4709,695,4748,192.24,0
407,4757,686,4794,2.5 2329.12,0
787,4699,862,4740,2.88,0
766,4752,862,4791,58.24,0
441,4861,846,4889,Total : 2521.36 61.12,0
317,4955,887,4993,SGST Rate BaseAmt TaxAmt,0
574,4998,690,5043,192.24,0
425,5050,694,5089,2.5 2329412,0
767,4993,867,5038,O 2.88,0
780,5050,865,5086,58.24,0
438,5159,706,5192,Total: 2521.36,0
762,5154,849,5187,61.12,0
886,5332,817,5299,0,0
765,5350,886,5384,2137,0
463,5304,562,5336,Round:,0
93,5310,373,5339,Items/Qty:8/8.00,0
91,5358,350,5389,Promo Discount:,0
95,5408,239,5444,Net Due:,9
755,5398,887,5436,2644,10
760,5490,887,5539,2644,
93,5508,445,5545,Amount Paid by card,
92,5554,378,5595,Amount Returned.,
775,5574,463,5459,sna,
887,5580,820,5548,0,
291,5796,692,5827,Thank You. Visit Again.,
257,5844,700,5882,Inclusive of atl-taxes.,
96,5899,891,5931,No Exchange and No Refund on Discounted Items,
291,5945,678,5979,NHN globusrashions.com,
