xmin,ymin,xmax,ymax,Object,label
104,31,365,38,Youtube and FaceboOK.,0
242,249,438,267,HEALTH AND GLOW,1
96,284,594,297,"UNIT NO.S-24,IN THE SECOND FLR PHOENIX",1
80,316,539,330,"MARKET CITY,OLD DOOR NO.66,NEW DOOR",1
81,348,577,361,"NO.142, VELACHERY ROAD-PH : 9514305183",1
79,380,261,398,CHENNAI 600042,1
170,411,506,430,Tax Invoice/Bill of Supply,0
232,442,478,460,Qty MRP HG Price,0
281,470,476,492,1 199.00 179.10,0
546,439,582,458,Net,0
520,470,593,489,179.1,0
78,444,127,466,Name,0
76,476,217,497,01OH LIP B,8
74,509,292,527,33041000 : GST 18,0
74,539,214,559,02GILL VEN,8
73,571,289,590,82121010 : GST 18,0
70,602,210,620,03GILL VEN,8
68,633,285,650,82121010 : GST 18,0
69,664,127,685,Total,0
78,694,398,709,Payable Value Incl.of GST,0
65,726,241,745,Total Discount,0
59,755,174,774,Round Off,0
56,786,223,804,Payable Value,0
79,816,155,833,GST 18,0
89,844,350,861,SGST 9.00 53.25,0
86,877,350,893,CGST 9.00 53.25,0
45,908,213,927,Cash Tendered,9
44,941,239,960,Amount returned,0
42,973,479,992,Bill No:130021920023979 Till No:2,4
41,1006,560,1027,Bill Date:11-11-2019 Bill Time:12:45:23,6
273,534,472,554,1 299.00 299.00,0
511,535,588,551,299,0
253,597,467,616,1 220.00 220.00,0
508,596,583,616,220,0
505,657,582,677,698.1,0
520,718,580,737,19.9,0
514,758,579,767,-0.1,0
501,779,579,802,698,0
503,811,579,831,106.49,0
498,903,578,926,700,10
576,961,517,932,0 0,
39,1070,476,1088,Your Glow Rewards Account Details,
38,1103,299,1120,Customer Name :ALINA,
38,1134,154,1153,Mobile No,
226,1138,363,1153,:8939874711,
35,1196,554,1219,Cashier ID:103570 GSTIN 33AAACF4045K1ZU,
35,1226,524,1251,Thank you for your purchase. You have,
35,1258,224,1279,05 Glow points.,
33,1289,670,1324,Goods sold can be exchanged within 15 days fro,
37,1311,665,1358,m date of purchase and no cash refunds Conditi,
568,1235,672,1257,earned 1,
32,1356,146,1373,ons Apply,
20,1407,447,1440,Now shop on Health Glow online,
28,1446,539,1476,Visit healthandglow.com OR Download our,
27,1477,524,1509,Android or i0S app.Enjoy 24x7 shopping,
25,1514,535,1538,and doorstep delivery of your favourite,
23,1538,227,1556,beauty products.,
25,1569,307,1589,Follow us on Instagram,
