xmin,ymin,xmax,ymax,Object,label
85,127,782,158,PATISSEZ RESTO CAFE,1
261,197,608,210,PHONEIX MARKET CITY,2
351,235,514,261,VELACHERY,2
180,289,692,298,CHENNAI - TAMILNADU - 600042,2
299,335,571,351,Ph: 09854623288,0
6,425,414,457,Date 30-12-2019 14:36,6
7,467,272,503,Bill: Bill-2454,4
8,513,198,549,Table : P10,0
9,557,254,593,laiter: Joyson,0
643,506,887,534,Order: Dining,0
699,549,887,576,Guests : 2,0
10,648,147,684,QTY Item,7
662,644,735,675,Rate,0
816,641,887,671,Cost,0
79,746,890,766,BURNT TOMATO AND CHILLI C... 215.00 215.00,8
79,792,401,819,FRIED POTATO ROSTI,8
60,831,420,864,1 CHEESE GARLIC BREAD,8
62,877,404,911,I SIMPLE GREEK SALAD,8
96,921,405,956,FISH ORLY ICIOUS,8
78,974,203,1004,GO PINK,8
79,1020,442,1049,MICHEAL JACKSON MINI,8
627,784,891,814,260.00 260.00,0
628,832,891,860,245.00 245.00,0
629,878,894,907,305.00 305.00,0
629,924,893,955,455.00 455.00,0
630,971,893,1002,465.00 465.00,0
631,1017,894,1049,310.00 310.00,0
80,1112,237,1142,Sub Total,0
81,1158,427,1192,Discount Percentage,0
81,1204,373,1235,Service Charge 5,0
82,1249,224,1280,CGST 2.5,0
83,1296,226,1327,SGST 2.5,0
83,1342,243,1375,Round off,0
84,1388,278,1422,Grand Total,9
766,1112,895,1144,2255,0
749,1174,897,1191,-563.75,0
805,1206,897,1238,84.57,0
806,1252,895,1287,44.41,0
807,1298,895,1332,44.41,0
825,1348,899,1379,0.37,0
773,1392,898,1423,1865,10
23,1469,266,1509,Payable amount,
772,1482,896,1510,1865,
257,1559,617,1585,Thanks Visit Again,
