xmin,ymin,xmax,ymax,Object,label
453,204,648,227,Tax Invoice,0
385,247,554,275,DUPLICATE.,0
413,287,689,317,PIZA Hut India,1
334,335,515,364,PH Pheonix,2
215,375,725,396,SAPPHIRE OODS INDIA PUT TD.,0
397,492,233,464,ON NI IS9,0
295,543,662,568,Invoice No 17845315,4
703,486,509,457,ZZIVSSSON,0
148,632,424,660,9000013 AbdulR,0
137,722,272,747,Tbl 20/1,0
420,713,560,738,Chk 6128,0
369,758,598,779,Customer/6128,0
359,795,635,819,Dec18 19 07:05PM,6
737,702,844,726,Gst 3,0
202,930,464,952,1 2Pizza Per8398,8
254,973,678,986,Per Pan Tandoori Paneer,8
256,1015,379,1039,Per Pan,8
258,1057,535,1079,ChickenPepperoni,8
213,1094,435,1127,1 Potato Wedgs,8
212,1139,461,1166,1 NU-StufPocket,8
228,1187,296,1216,Cash,0
694,914,801,940,398,0
704,1084,808,1106,189,0
705,1125,809,1149,129,0
705,1166,812,1193,800,0
703,1282,816,1275,716,0
732,1292,818,1318,17.9,0
232,1271,385,1294,Sub Total,0
234,1313,383,1341,CGST 2.5,0
236,1354,377,1379,SGST 2.5,0
238,1397,321,1423,Total,9
239,1440,415,1462,Change Due,0
337,1478,719,1493,-9000012 Check Closed-,0
514,1434,396,1307,P.,0
689,1431,466,1376,InH,0
818,1360,771,1355,6,0
714,1376,821,1405,752,10
369,1519,679,1535,-Dec1819 07:50PM-,0
248,1609,586,1624,SAC-996331,
232,1691,781,1699,3. 15 off on Al-a-carte items,
305,1733,388,1762,only.,
254,1777,815,1786,Get discount code after survey.,
256,1817,698,1829,write code in space below,
258,1862,503,1881,Discount Code:,
259,1905,736,1913,Hand over bi11 for discount,
265,1989,631,2004,Terms and conditions:,
267,2032,810,2038,Offer valid at this store only.,
269,2075,834,2077,Discount valid only en your next,
272,2123,603,2134,visit. valid fo3,
273,2159,516,2182,date of visit,
679,2095,837,2120,ws from,
590,2227,726,2255,CnaTure,
189,2476,194,2014,www.pizzahut.co.in,
147,1576,153,1113,www.pizzahut.co.in,
107,672,116,207,www.pizzahut.co.in,
