xmin,ymin,xmax,ymax,Object,label
304,138,767,180,PUT KADALAI,1
117,236,955,267,"Palladium, Indira Gandhi Nagar, Velachery,",2
373,287,692,319,Chennal 600042,2
263,341,802,373,GSTIN: 33AAUFK2479B1Z8,0
369,397,699,431,PH: 6379888177,0
40,509,161,541,Name:,0
47,641,472,669,Date: 25/12/19 17:33,6
50,692,313,722,Cashier: biller,0
49,745,354,777,Token No.: 69,0
539,636,725,667,Dine In: 1,0
539,689,794,716,Bill No.: 1442,4
52,853,137,888,Item,7
474,846,549,882,Qty.,0
666,846,755,880,Price,0
876,845,1029,879,Amount,0
50,959,275,992,Peanut Bhel,8
648,950,755,985,95.24,0
920,950,1030,984,95.24,0
329,1086,758,1120,Total Qty: 1 Sub Total,0
457,1139,562,1175,CGST,0
461,1193,564,1226,SGST,0
923,1083,1035,1119,95.24,0
951,1138,1034,1174,2.38,0
951,1192,1037,1229,2.38,0
657,1138,714,1173,2.5,0
657,1192,715,1227,2.5,0
322,1306,635,1351,Grand Total,9
850,1305,1035,1348,100,10
433,1425,646,1464,Lets Put itl,0
