xmin,ymin,xmax,ymax,Object,label
484,162,630,137,BAKVI,0
133,256,509,269,RmKV Silks Pvt. Ltd.,1
214,294,431,303,"S-55,S-56,S-57,S-58",2
147,326,503,337,"Phoenix Market City,Velachery",2
200,353,447,362,Chennai - 42 - 600042,2
224,383,425,393,Ph: 044-66513500,0
148,415,503,421,CIN: U52320TN2011PTC081680,0
176,442,476,450,GSTIN: 33AAFCR4024B1Z1,0
212,480,441,496,TAX INVOICE,0
27,545,311,563,No : Y05/S0-35,0
26,604,224,615,DATE : 26/12/2019,6
503,588,632,598,Time : 17:56,6
27,640,296,648,Sr.No : S19Y05VS0024937,4
27,676,387,678,Place of Supply : Chennai - 42 - 600042,0
28,699,249,707,Delivery : Ex Showroom,0
29,725,291,731,State/Code : Tamil Nadu/33,0
175,776,214,791,GST,0
278,770,329,791,RATE,0
499,765,645,774,SM AMOUNT,0
323,774,470,862,DELIKERED,0
313,834,433,894,RMKV,0
30,782,68,797,SNO,0
103,780,140,794,HSN,0
31,832,39,847,1,0
95,830,138,843,5208,0
190,827,227,840,5,0
254,821,313,839,819,0
31,861,286,870,CSJB0463/3/44 Silk Saree,8
255,884,342,900,1296,0
320,844,418,914,VELACHDP,0
576,843,638,856,819,0
31,897,41,911,2,0
96,894,140,907,5210,0
190,890,229,903,5,0
568,906,640,919,1296,0
31,927,275,933,CSJC0408/3/5 Silk Saree,8
25,981,149,1001,TOTAL,0
194,975,394,989,Sold Pcs : 2,0
505,962,639,980,2115,0
32,1042,161,1057,Tax Summary,0
33,1093,69,1107,GST,0
113,1089,266,1098,TAXABLE VALUE,0
308,1080,355,1094,CGST,0
402,1077,448,1090,SGST,0
497,1073,538,1088,IGST,0
584,1069,647,1084,TOTAL,9
35,1139,47,1159,5,0
197,1136,270,1148,2014.29,0
316,1130,365,1143,50.35,0
411,1126,524,1137,50.35 0.00,0
577,1120,649,1133,2115,10
34,1190,96,1206,TOTAL,
198,1186,271,1198,2014.29,
316,1180,367,1193,50.35,
412,1177,460,1190,50.35,
488,1173,525,1188,0,
578,1171,650,1184,2115,
373,1245,643,1269,Rs. 2115.00,
465,1324,651,1335,RMKV Silks Pvt. Ltd.,
452,1384,655,1401,Authorized Signatory,
165,1427,528,1432,Goods once sold cannot be taken back,
251,1449,442,1459,Thanks for your visit,
298,1472,395,1486,Vislt agaln,
131,1501,566,1509,SAVE MORE WITH YOUR BONUS CARD TODAY,
136,1536,562,1540,"www.rmkv.com, email: feedbackrmkv.com",
154,1557,545,1564,"R.O.:176F,Trivandram Road,Vannarpettai",
262,1579,436,1591,Tirunelvell-627003,
