xmin,ymin,xmax,ymax,Object,label
363,244,549,290,Reltance,0
337,268,600,340,trends,0
100,395,115,409,X,0
114,437,163,451,XXXX,0
571,434,601,447,XXX,0
133,474,404,494,ei i ance Retain Limited,1
124,515,455,539,F 32. Phoenix narket citY-,2
105,560,429,578,142. UeiacherY Main road.,2
102,602,337,620,Chennai 600 042.,2
102,645,507,663,Store Contact No-044 - 66650131,0
104,683,484,705,CIN NO: UO1100MH1999PLC120563,0
104,729,504,751,Hebsite WWN.relianceretail.com,0
294,811,445,836,TAX INVOICE,0
104,944,566,962,Piace of Suppy State Code: 33 TN,0
105,1032,341,1051,Customer Type: URD,0
106,1117,567,1134,Suppiy State GSTIN: 33AABCR1718E12W,0
108,1201,209,1223,ItemName,7
386,1200,421,1223,Oty,0
504,1198,581,1219,AntRs,0
107,1245,196,1266,HSH/SAC,0
107,1329,289,1348,DNM X T-SHIRTS,8
519,1327,595,1348,499 .00,0
108,1371,277,1391,8.90786E+12,0
360,1371,410,1391,6109,0
121,1413,303,1433,EOSSKH FLAT 50,0
546,1421,636,1432,-249.5,0
107,1457,316,1476,H.A.H TRACKPANTS,8
519,1454,595,1475,399,0
108,1499,278,1518,8.90369E+12,0
360,1497,410,1520,6104,0
109,1541,305,1560,PLAIN PAPER BAG,8
547,1538,597,1561,5,0
109,1583,278,1602,8.90503E+12,0
362,1583,438,1602,481999,0
109,1712,252,1732,BALANCE DUE,0
561,1710,637,1731,653.5,0
109,1755,240,1775,DR/CR CARD,0
561,1752,639,1774,653.5,0
124,1796,319,1815,Car dtlumber : 6857,0
124,1839,320,1859,AuthCode 017566,0
113,1881,387,1903,Totai Iteas Purchased,0
111,1967,306,1989,Payment Summary,0
131,2010,510,2032,Pr ices incIUSIve of aI Taxes,0
259,2094,507,2113,GST RECEIPT SUMMARY,0
112,2181,268,2200,HSH/SAC Tax,0
473,2180,507,2200,Tax,0
579,2178,637,2200,Totai,0
232,2221,281,2242,Rate,0
338,2221,507,2241,Amount Amount,0
564,2220,640,2242,Amount,0
114,2307,164,2328,6109,0
300,2305,376,2327,237.62,0
449,2306,509,2326,11.88,0
566,2304,642,2327,249.5,0
114,2350,163,2371,CGST,0
234,2348,270,2369,2.5,0
380,2349,429,2370,5.94,0
113,2392,163,2413,SGST,0
233,2391,269,2413,2.5,0
379,2392,434,2407,5.94.,0
114,2478,163,2499,6104,0
300,2477,376,2500,380 .00,0
449,2477,509,2497,19,0
566,2476,642,2498,399,0
114,2519,163,2542,SGST,0
234,2519,269,2540,2.5,0
380,2520,430,2541,9.5,0
115,2563,164,2585,CGST,0
235,2563,271,2583,2.5,0
381,2562,431,2584,9.5,0
115,2649,191,2670,481999,0
327,2648,376,2670,4.24,0
460,2649,509,2668,0.76,0
592,2648,643,2669,5,0
115,2691,164,2712,SGST,0
261,2691,270,2711,9,0
380,2691,430,2711,0.38,0
115,2733,164,2755,CGST,0
261,2733,270,2754,9,0
381,2733,430,2754,0.38,0
117,2863,196,2890,TOTAL :,9
301,2861,377,2884,621.86,0
448,2863,510,2883,31.64,0
567,2862,643,2883,653.5,10
142,2949,242,2967,60450591,0
288,2946,563,2967,Dt20/12/2019 17:32:32,6
116,2990,192,3009,S4827,0
290,2989,364,3011,Txn22,0
461,2989,523,3008,R113,0
116,3031,551,3052,PaymentRefNo 4827113002220122019,0
118,3075,471,3096,TaxInvoice 482711319513229,4
278,3199,484,3223,R1 Card Detai 15,
117,3246,362,3267,Card No.:9952011531,
533,3334,610,3348,Kxx,
118,3374,622,3393,KAMOUNT INCLUSIUE OF APPLICABLE TAXES,
151,3419,507,3432,XXXXXX,
113,3454,325,3476,No Cash Refunds.,
118,3501,578,3520,For any quer ies. Piease contact the,
116,3543,550,3563,CustOmer SerVice Desk or Emain at,
116,3589,419,3607,customerserviceri1.com,
132,3628,538,3647,Thank You for Shopping with us.,
131,3671,299,3689,See You Soon.,
117,3712,443,3729,Store Managers Signature:,
116,3754,392,3776,Contact : 04443320283,
116,3796,418,3818,GSTN : 33AABCR1718E1ZW,
