xmin,ymin,xmax,ymax,Object,label
222,222,578,234,START SOMETHING,0
607,220,686,232,NEW,0
156,248,753,299,Shoppers Stop Ltd,1
279,358,650,384,MAC-VALACHERY CHENNAI,2
121,404,808,426,PHOENIX MARKET CITY MALL UG51 VALACHERY,2
280,447,632,472,MAIN ROAD Tamil Nadu,2
316,489,614,516,400042 CHENNAI TN,2
334,532,597,560,Tel :0000000000,0
232,573,703,601,CIN : L51900MH1997PLC108798,0
263,622,669,646,GSTIN : 33AABCS4383A1ZS,0
88,712,369,738,Date: 25/12/2019,6
89,756,422,781,Cash Memo NO: 20674,4
89,800,275,827,Register: 1,0
89,844,653,867,Cashier: 7057304-Azhmath Rasheed,0
549,708,741,735,Time: 17:00,6
549,752,723,779,Store: 554,0
549,789,794,822,Till No: 57304,0
391,929,548,958,CASH MEMO,0
258,1065,662,1084,OT1131RD113137K74ARNKDO,0
93,1148,480,1174,Customer: 554001005790,0
110,1192,231,1221,Amritha,0
82,1232,462,1261,Mobile No: 999,0
93,1280,622,1310,Ema il ID: macshoppersstop.com,0
235,1323,711,1347,RCM applicable Yes/No: No,0
95,1412,163,1441,Item,0
95,1456,145,1486,MRP,0
96,1501,394,1527,HSN/SAC Code GST,0
343,1409,535,1438,Description,7
343,1453,411,1483,Disc,0
502,1452,818,1480,AMount Oty Un/UQC,0
362,1585,713,1612,Lipstick Ruby Hoo RM,8
96,1588,305,1617,7.73602E+11,0
98,1632,164,1660,1700,0
98,1676,237,1705,33041000,0
98,1720,431,1745,Sales Assoc. Arul P,0
99,1764,308,1793,7.73602E+11,0
101,1807,166,1837,1700,0
99,1851,238,1880,33041000,0
99,1895,432,1921,Sales Assoc. Arul P,0
541,1628,608,1656,1700,0
683,1627,689,1654,1,0
364,1673,608,1701,CGST 9 SGST 9,0
364,1761,768,1788,LIPSTICK LIPSTICKS MEHR,8
543,1804,609,1832,1700,0
365,1849,609,1877,CGST 9 SGST 9,0
117,1982,250,2011,TaxDesc.,0
329,1981,450,2007,Taxable,0
541,1980,609,2008,Rate,0
736,1979,786,2006,Tax,0
330,2069,451,2098,2881.36,0
331,2112,452,2141,2881.36,0
539,2068,570,2097,9,0
118,2071,221,2100,SGST 9,0
118,2115,222,2144,CGST 9,0
685,2067,787,2096,259.32,0
685,2111,788,2140,259.32,0
543,2113,558,2141,9,0
119,2202,200,2232,Total,0
686,2200,788,2229,518.64,0
101,2290,311,2319,Total Amount,9
100,2334,341,2360,Round off Amt.,0
102,2378,170,2408,Cash,0
103,2422,310,2450,Total Tender,0
102,2466,365,2494,Change Returned,0
102,2510,559,2537,Total Number of Item / QTY,0
668,2287,790,2317,3400,10
719,2332,789,2360,0,
669,2376,790,2404,3400,
669,2422,790,2449,3400,
722,2463,790,2494,0,
721,2508,772,2538,2-Feb,
102,2598,789,2627,This document is tax invoice for supply,
147,2636,772,2672,of taxable goods and bill of Supply,
162,2679,649,2713,for supply of exempted goods,
138,2730,737,2757,GST No. printed on invoice will1 be,
139,2774,750,2800,final and any correction of 6ST No.,
134,2812,821,2845,of customer wil1l not be accepted later.,
139,2906,809,2934,Customer Copy / ORIGINAL FOR RECIPIENT,
162,2989,774,3023,You could have earned up to 102.0,
192,3037,756,3066,Points as a First Citizen Member,
104,3082,804,3109,Terms and conditions exclusions apply.,
103,3170,738,3201,Thank You For Visiting Shoppers Stop,
102,3257,648,3287,Shop Online at Shoppersstop.com,
