xmin,ymin,xmax,ymax,Object,label
397,218,1200,249,Amazeus Foods India LLP,0
406,274,1199,311,Smoke-The Sizzler house,1
334,335,1233,368,"FC-01.1St Floor, Food Court",2
440,394,1166,428,Phonix Palladium Mall,2
473,450,1130,484,Velachery Main Road,2
373,510,1233,549,Velachery-Chennail-600042,2
80,624,309,660,Bill No,3
378,624,583,659,Waiter,0
690,624,783,658,TNo,0
892,623,1023,660,Date,5
1272,620,1398,658,Time,0
89,732,216,772,A251,4
391,746,584,772,cashie,0
693,736,1328,769,FF 29/10/2019 21:15,6
96,846,225,881,Item,7
728,846,886,882,Price,0
1030,846,1425,880,Qty Total Rs,0
91,954,620,993,MUTTON SEEKH SIZ,8
93,1012,522,1048,POTTED PARROT,8
698,953,888,991,380,0
697,1012,890,1049,128.57,0
999,954,1430,990,1.000 380.00,0
1001,1010,1434,1046,1.000 128.57,0
92,1122,552,1169,Total Quantity,0
90,1176,450,1213,Grand Total,0
1002,1120,1167,1159,2,0
289,1230,381,1270,2.5,0
91,1288,350,1326,CGST 2.5,0
91,1342,420,1380,Net Amount,9
99,1393,224,1429,Cash,0
1246,1176,1448,1214,508.57,0
1285,1234,1448,1271,12.71,0
1283,1290,1446,1327,12.71,0
1245,1342,1445,1379,534,10
1242,1396,1441,1431,534,
93,1232,218,1268,SGST,
400,1446,1132,1487,"Thank You, Visit Again",
517,1489,998,1535,For GST Applied,
