xmin,ymin,xmax,ymax,Object,label
283,120,294,128,IM,0
138,162,343,169,TATA STARBUCKS PRIUATE LIMITED,1
204,183,280,197,TAX INUOICE,0
130,207,356,215,th Floor.NeW Excelsior Bullding.,2
170,238,302,240,Amr it Keshav Harg.,2
179,250,307,261,Fort. Mumba-400001,2
140,280,335,282,Phoeri Ix Market City Cherinal,2
147,291,335,305,PhoenIx ltarket City Chenna i,2
199,344,275,362,State Code:33,0
283,336,198,317,Tto009-1 euuay,0
303,382,139,367,6Z109090103V 006880,0
346,496,424,508,Shift Code:2,0
61,513,211,530,Invoice bate:23-12-2019,6
404,531,343,518,O 1: OH 111,0
338,542,431,555,Partner Itonica,0
108,603,56,585,aueu wait,0
100,626,57,605,apo HSH,0
271,626,197,609,ap ad ales,0
59,653,259,670,Tall bouble Chocolate Chip Fra,8
222,680,268,694,295,0
384,682,430,693,295,0
85,696,48,686,LCO66,0
330,700,307,682,00 00,0
61,723,88,735,Total,0
222,726,266,739,295,0
384,728,428,740,295,0
329,746,305,728,00 00,0
48,765,120,778,GST SUMMARY,0
90,803,44,785,apo HSH,0
217,819,201,808,ssa,0
199,829,223,840,Rate,0
66,816,43,804,I93,0
140,817,120,806,1S9s,0
44,827,70,839,Rate,0
121,828,146,840,Rate,0
310,827,272,820,algexel,0
117,851,139,863,Amt,0
297,848,272,841,anjen,0
359,851,432,868,Tax Aliount,0
39,895,80,909,996331,0
41,918,75,932,2.5,0
118,920,159,933,02.50t,0
196,918,239,933,00.00x,0
277,920,323,933,295,0
397,941,432,959,14.76,0
64,961,39,941,RE 20,0
220,962,187,953,00 00,0
44,993,72,1005,Total,0
398,993,432,1007,14.76,0
41,1016,166,1030,Net Invoice Amount,9
388,1017,431,1031,309.76,10
42,1040,221,1053,Rounded Off Invoice Amount,
422,1059,391,1050,00GLE,
40,1087,144,1098,PAYMENT SUMMARY,
64,1122,43,1108,yse,
404,1125,374,1109,00. 009,
403,1146,372,1130,00 D0S,
371,1149,414,1160,190,
48,1152,132,1162,Amount. Repald,
115,1149,44,1130,junouv lejo1,
42,1198,146,1209,PAYMENT DETAILS,
66,1235,47,1222,Use,
47,1247,160,1257,cash Amt Returned,
306,1236,275,1217,00 00S,
275,1244,319,1255,190,
286,1374,429,1392,Author ised Signatory.,
128,1427,312,1436,Cx THANK YOU. VIIT AGAIN,
