xmin,ymin,xmax,ymax,Object,label
58,50,485,82,Starmark Chenna i Phoenix Market City,1
56,74,534,103,"Unit No-S03, No - 142, Velachery Main Roa",2
55,99,401,126,"Velachery, Chennai - 600 042.",2
52,124,261,142,Ph: 044-6665 0311,0
50,145,332,168,GSTIN 33AAACF3726DZ7,0
235,224,369,244,TAX INVOICE,0
45,284,399,299,Invoice No : PX-19-CSB-44336,4
42,318,91,337,Date,5
44,351,128,367,Cashier,0
194,306,558,324,: 26/September/201915:00 T2,6
196,338,266,362,: SHEIK,0
45,416,142,432,Customer,0
43,473,142,491,BK OFFER,0
41,501,127,518,CHENNAI,0
41,530,153,547,TAMILNADU,0
43,558,418,575,Place Of Supply TAMILNADU33,0
179,620,381,635,HSN Description,7
127,652,227,671,Qty Rate,0
37,623,87,641,Code,0
38,655,74,674,GST,0
358,647,406,666,Disc,0
485,644,547,662,Value,0
39,719,534,725,BK 0451973 4901 COLORS AND STICKERS ABC,8
258,745,405,763,110.00 0.00,0
53,748,78,771,0,0
173,745,214,771,1 RS.,0
474,739,547,756,110,0
33,806,545,821,BK 0451982 4901 PRESCHOOL ILLUSTRATED 12,8
44,835,56,854,0,0
172,833,214,855,1 RS.,0
267,834,406,849,99.00 0.00,0
485,832,547,847,99,0
27,897,540,905,BK 0441183 4901 ILLUSTRATED STORIES FOR,8
252,921,409,937,499.00 10.00,0
39,928,50,948,0,0
167,921,209,946,1 RS.,0
477,917,556,935,449.1,0
22,1027,70,1043,Tot:,0
143,1022,155,1043,3,0
482,1012,561,1031,658.1,0
185,1088,422,1099,Less - Round Off :,0
504,1078,565,1099,-. 10,0
229,1147,399,1163,Grand Total:,9
480,1141,560,1155,658,10
476,1191,554,1204,658,
34,1211,57,1228,VI,
164,1205,369,1212,XXXXXXXXXXXX9644,
34,1238,281,1251,You Saved RS. 49.90,
38,1339,177,1358,GST Summary,
41,1401,76,1420,GST,
117,1400,204,1418,Taxable,
271,1396,321,1416,CGST,
389,1389,439,1407,SGST,
508,1382,556,1399,IGST,
141,1467,217,1486,658.1,
285,1463,336,1481,0,
403,1457,455,1475,0,
509,1450,559,1469,0,
38,1537,84,1552,Tot:,
142,1534,218,1552,658.1,
285,1529,337,1547,0,
404,1523,455,1540,0,
510,1517,561,1535,0,
