xmin,ymin,xmax,ymax,Object,label
48,138,872,232,TOYSAUS BABIESUS,0
121,316,792,345,Tablez Toyz Pvt. Ltd.,1
123,370,798,390,"G-A2, Ground Floor, PMC Chennai Old",2
102,403,818,433,"Door. No. 66 ,New Door No.142,Velachery",2
403,445,512,468,Ph No.,0
541,481,652,503,Email:,0
298,561,622,592,TAX INVOICE,0
42,673,614,693,Invoice No : RTNO1B1920014412,4
40,748,117,769,Name,0
267,753,270,768,:,0
39,787,156,808,Mobile,0
302,784,494,806,9840888879,0
40,822,210,843,Address :,0
267,867,482,882,: . PIT,0
288,894,494,922,: 29-10-2019,6
43,862,137,884,Staff,0
559,896,795,917,Time : 15:31,6
40,898,117,926,Date,5
44,941,357,964,Sr Barcode/Name,0
553,939,626,969,Qty,0
698,938,814,959,Amount,0
124,981,358,1002,8.73642E+11,0
401,980,477,1002,Fast,0
682,978,815,1001,1599,0
141,1021,458,1041,Lane 3 Pack Emer,0
122,1055,496,1077,HSN/SAC : 9503 18.00,0
183,1175,371,1194,Total Qty:,0
183,1212,398,1231,CGST 9.00,0
185,1250,399,1269,SGST 9.00,0
681,1208,797,1230,121.96,0
682,1246,797,1268,121.96,0
184,1287,314,1306,Total :,9
664,1284,797,1304,1599,10
43,1329,123,1351,Visa,
664,1325,808,1353,1599,
84,1405,637,1423,Prioe Inolusive of all taxes,
45,1481,499,1499,GSTIN : 33AAFCT8925M1ZU,
44,1517,577,1537,CIN : U52398KL2016PTC046078,
45,1556,337,1575,Connect with us,
363,1559,401,1575,on,
43,1593,321,1617,www.toysrus.in,
303,1667,633,1694,RTN01B1920014412,
