xmin,ymin,xmax,ymax,Object,label
37,109,694,118,VB SIGNATURE - UNIT OF SAI ENTERPRISES,1
254,154,492,184,PALLADIUM MALL,2
75,192,659,203,"28, VELACHERY MAIN ROAD, VELACHERY",2
238,234,479,267,CHENNAI-600042,2
167,276,547,310,GSTIN: 33BIXPD4908G1Z5,0
206,320,500,351,State: TAMIL NADU,0
264,407,469,433,VB SIGNATURE,0
32,505,230,527,Bill No: 49,4
35,548,441,561,Bill Dt: 14/11/19 20:58,6
37,592,89,620,SAC,0
183,586,305,615,: 996331,0
204,675,326,697,Steward,0
492,654,681,676,Table Cover,0
43,683,113,709,Time,0
45,726,133,751,20:58,0
502,702,567,727,49,0
639,693,646,721,1,0
48,813,315,826,Sno Description,7
437,790,736,800,Qty Rate Amount,0
97,894,230,919,1 COFFEE,8
499,865,739,885,6 50.00 300.00,0
324,969,405,991,Total,0
342,1011,479,1028,SGST 2.5,0
343,1055,481,1071,CGST 2.5,0
645,944,742,970,300,0
679,986,744,1014,7.5,0
680,1029,745,1057,7.5,0
255,1150,451,1192,Grand Total,9
636,1117,736,1175,315,10
64,1282,207,1300,Kot :466,0
240,1398,630,1386,ROUNDED OFF TO 50 PAISE,0
182,1451,662,1426,Thank You Please Visit Again,0
