xmin,ymin,xmax,ymax,Object,label
48,61,391,103,WOW MOMO FOODS,1
73,111,430,149,PRIVATE LIMITED,1
158,155,357,177,Palladium Chenna1,2
25,185,481,205,Wow China Palladium 142 Velachery Main,2
194,214,298,223,Chennai -,2
244,242,276,261,IND,2
26,304,107,315,GSTIN:-,0
147,303,326,319,33AABCW6316K2Z9,0
149,332,336,350,Infowowmomo.co.,0
344,327,362,347,in,0
102,360,409,381,CIN: U15122WB2015PTC205829,0
63,396,455,408,Service Account ing Code: 00996331,0
26,482,119,500,CHANNEL:,0
26,510,106,532,KOT No:,0
27,543,118,562,Bill No:,3
27,573,252,593,Terminal: CHE016-1,0
28,603,496,618,CashierID: CHE01601 Palladium Chennai M,0
28,633,397,652,Cust No.: 4354534534,0
28,664,414,682,Cust Name: Shyam vamsi,0
28,694,375,711,Date. 30-11-2019 Time. 19:20,6
160,482,324,502,DINE IN,0
161,512,399,530,CHEO16-CHE016-1-2718,0
161,543,374,561,CHEO1611-1-0001606,4
27,753,136,773,ITEM NAME,7
259,755,458,770,QTY PRICE TOTAL,0
31,816,185,833,RICE HG SCLG,8
262,841,388,856,1.00 259.0,0
427,836,496,852,259,0
31,873,305,886,CRISPY CHILLI BABY CORN,8
430,892,499,909,195,0
431,930,499,938,-39,0
394,951,450,968,Guest,0
262,897,390,911,1.00 195.0,0
32,933,223,946,Compliement Line,0
32,962,355,974,Wow-01 - 01 - Complimentary,0
33,1022,124,1037,Subtotal,0
33,1051,150,1066,GST Amount,0
33,1081,88,1099,Total,9
32,1110,80,1129,HDFC,0
33,1140,177,1155,Rounding Off,0
430,1009,500,1027,415,0
443,1038,500,1057,20.76,0
431,1068,499,1087,435.76,10
430,1098,500,1116,435.76,
455,1127,500,1146,0,
214,1073,260,1092,2,
169,1206,318,1202,-GST SUMMARY-,
289,1221,323,1240,Tax,
302,1251,347,1269,2.5,
303,1282,347,1298,2.5,
419,1218,501,1235,Tax Amt,
446,1246,501,1265,10.38,
446,1277,501,1293,10.38,
194,1224,251,1242,Basis,
34,1229,142,1245,Component,
36,1257,81,1276,CGST,
194,1254,264,1272,415,
37,1286,82,1304,SGST,
194,1283,263,1302,415,
38,1345,503,1354,"Regd Off: 29/2E/1,Raja S.C.Mullick Road",
62,1374,467,1385,"Jadavpur, Kolkata Pin Code: 700032",
39,1405,480,1415,No Reverse Charges will be applicable,
39,1434,274,1451,WOW We love You...,
52,1464,325,1480,No Refunds after 10 Min,
