xmin,ymin,xmax,ymax,Object,label
442,272,524,325,MI,0
313,402,654,467,TAX INVOICE,0
61,556,557,577,AMAR COMMUNICATION,1
85,600,793,621,"F 1oenix Market City, Unit no. F-23, 1st",2
61,652,765,677,"Floor, No. 142, Velachery Main Road,",2
82,701,414,730,"V lachery,Chennai",2
66,754,510,776,F. NO.: 1800 103 6286,0
61,800,870,826,Ciomer Support: service.inxiaomi.com,0
76,852,712,873,Customer HotLine: 18001036286,0
69,905,580,926,STIN: 33AAJPA0537D1ZH,0
71,954,507,976,FAN NO: AAJPA0537D,0
99,999,750,1024,S ate Name Code: Tamil Nadu33,0
82,1110,719,1136,1 voice Date: 2019-11 0911:05:53,6
74,1164,711,1183,Hvoice NO.: SMN0016111900624,4
128,1208,714,1236,der NO.: SA1191109188571139,0
75,1258,600,1287,Cua. Name: JITHENDRANS,0
77,1309,488,1337,Cust. PH: 9944925006,0
78,1363,252,1390,FAN NO.:,0
104,1410,464,1436,S ate Name Code:,0
97,1457,376,1499,F ace of Supply:,0
342,1569,926,1592,M AirPOP PM2.5 AntiPollution,8
546,1618,925,1644,MaskPack of 2 Black,8
626,1667,926,1693,GoodsID: 21837,8
82,1644,294,1692,Duscription,7
527,1720,928,1743,HSNCODE: 63079090,8
96,1809,322,1857,F iceincl.tax,0
176,1863,238,1896,249,0
486,1812,585,1840,CGST,0
788,1807,882,1837,SGST,0
517,1862,567,1890,2.5,0
815,1856,865,1887,2.5,0
679,1967,918,2005,Totalincl.tax,0
774,2019,839,2052,249,0
114,1977,184,2006,GST,0
292,1975,386,2004,SGST,0
495,1974,571,2001,QTY,0
129,2026,171,2056,92,0
303,2025,377,2053,5.92,0
86,2134,315,2172,S. JB TOTAL:,0
810,2133,932,2163,237.16,0
87,2188,376,2214,CRAND TOTAL:,0
867,2183,932,2212,249,0
89,2236,301,2268,DISCOUNT:,0
127,2285,220,2315,DTAL:,9
897,2249,933,2263,0,0
812,2285,933,2314,249,10
111,2406,914,2436,"This is a computer generated invoice, so",
264,2454,749,2497,no signature is required,
262,2510,755,2538,AMAR COMMUNICATION,
148,2557,877,2589,"Phoenix Market City, Unit no. F-23, 1st",
157,2603,859,2643,"iHoor, No. 142, Velachery Main Road,",
337,2657,682,2695,Velachery.Chennai,
84,2747,529,2778,1ems and conditions:,
90,2796,907,2828,1 Product onnce sold will not be returned or,
107,2843,772,2881,E changed Under any circumstance.,
99,2893,910,2930,2 in case of any manufacturing or Technical,
87,2944,899,2981,ue within 7 days of purchase please visit,
81,2992,860,3029,Mi service centre for DOA certificate and,
102,3041,788,3080,E ing it to Mi Home within 48 hrs for,
92,3092,338,3135,F placement.,
93,3144,873,3188,3 Keep a copy of this invoice to claim any,
87,3193,878,3231,fture serve on the product at our service,
88,3249,229,3275,Cnters.,
