xmin,ymin,xmax,ymax,Object,label
105,38,232,77,ZNBA,1
168,110,219,129,INVOICE,0
55,164,301,163,Inditex Trent Refail Indi Pvt Ltd,0
63,184,302,182,Ambience Corporate Office Tower 2,2
64,203,301,202,Level 8 on Plot No. 3. Unit No 1,2
153,223,208,228,affice 1,2
45,246,317,242,"Ambience 1sland, NH-8, Gurgaon 122002,",2
134,261,234,265,"Haryana, Indla",2
91,280,278,282,CN: U74900HR2009F TC043768,0
114,302,264,303,Tel: 91 124 497 3500,0
116,319,138,332,Fax,0
162,320,266,323,91 124 497 3610,0
139,344,245,345,"WWw.zara, com/In",0
109,381,268,382,GSTIN: 33AACCI15660129,0
84,402,302,397,Phoenix Marketcity Mall Chennal,0
78,421,314,415,"UG-17, Upper Ground Floor Plot in",0
62,437,327,431,Nor thern and Western part of old door,0
72,454,319,449,"no. 66 New door no142, Velachery",0
82,473,309,466,Saidapet Taluk TAHIL NADU 600042,0
104,486,289,485,Tel: 044-65513700/701/702,0
63,546,141,552,Store: 9184,0
64,563,264,559,Date: 27-12-2019 Time: 18:13,6
69,580,287,574,Invoice number: 9184-02-s035040,4
67,602,152,605,Trans: 45595,0
71,635,116,637,TSP Co,0
141,633,162,640,OTY,0
191,628,226,635,PRICE,0
263,622,306,628,AHDUNT,0
65,662,90,665,---,0
70,676,128,681,RMC 6205,0
188,667,243,671,1290,0
73,695,287,688,10001250 0857439980002 SHKIRT,8
77,711,252,708,"1, 151.79 Central tax6.00",0
82,728,254,727,"1,151.79 State tax 6.00",0
274,654,344,663,"1,290.00 P",0
299,700,337,702,69.11,0
306,714,341,720,69.1,0
78,788,113,795,TOTAL,9
191,783,238,761,ZARA,0
272,768,326,785,1290,10
88,824,144,829,CITIBANK,
255,811,340,815,"INR 1, 290.00",
85,879,167,880,Card Number:,
332,856,355,873,6145,
208,886,235,894,VISA,
82,915,198,918,Exp. Date: XXXX,
88,954,229,951,MID: 444602423436401,
84,971,176,974,BATCH NUM: 3,
91,989,153,993,BILL NUH:,
265,934,358,940,TID: 13436401,
270,954,365,958,INV. NUM: 147.,
272,975,362,978,9.18402E+11,
92,1009,221,1007,APPR. CODE: 212633,
94,1026,207,1027,Date: 27-12-2019,
244,996,363,996,RRN: 936118162929,
267,1008,367,1015,Time: IB:13:00,
73,1098,115,1083,ARA,
105,1103,169,1106,Total Net,
290,1082,356,1090,"1, 151.79",
103,1122,221,1121,Central tax 6.00,
322,1102,355,1107,69.11,
339,1137,361,1143,-79,
324,1157,363,1163,69.1,
109,1159,170,1162,Total Net,
305,1141,337,1146,"1,151",
110,1177,210,1177,State tax 6.00,
169,1222,409,1156,THANKS FOR YDUR VISIT RA,
105,1288,376,1276,Note: Unless otherwise stated. fax on,
111,1306,348,1297,this Involce is nt payable under,
110,1332,216,1328,reverse charge.,
112,1348,372,1335,This Is a computer generatedrivoice,
114,1371,330,1356,and hence does not require any,
114,1390,184,1388,signature.,
116,1425,217,1424,Employee: 7635,
33,536,77,515,ZRA,
121,788,166,765,ZWA,
214,1090,256,1068,ZRA,
138,1503,93,1526,RAZ,
96,1576,151,1557,ZRA,
301,1394,350,1371,ZNA,
380,1445,424,1421,ZARA,
