xmin,ymin,xmax,ymax,Object,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
69,154,553,212,COLD STONE O,Cold Stone Creamery Pvt Ltc,101.5,1,,0.0,-1,101.5,0.0
97,285,630,284,Cold Stone Creamery Pvt Ltc,"Ground floor old door 66 new door 142,",35.5,2,,0.0,-1,35.5,0.0
115,319,622,321,"Ground floor old door 66 new door 142,","PMC, Velacheri, Chennai-600042",24.5,3,,0.0,-1,24.5,0.0
167,343,570,346,"PMC, Velacheri, Chennai-600042",Ph No. 044 6665 0313,24.0,4,,0.0,-1,24.0,0.0
237,363,501,374,Ph No. 044 6665 0313,Email:coldstone.pmechennaiin.tallez.com,26.5,5,,0.0,-1,26.5,0.0
106,391,635,399,Email:coldstone.pmechennaiin.tallez.com,TAX INVOICE,56.5,6,,0.0,-1,56.5,0.0
260,444,478,459,TAX INVOICE,18-Dec-19,48.5,9,,0.0,-1,48.5,0.0
57,499,91,514,Inv,Name,49.0,10,: STNO 1A1920130362,162.0,8,49.0,162.0
126,495,346,510,: STNO 1A1920130362,": CS Creamery, PMC, Ch",50.0,11,18-Dec-19,254.0,9,50.0,254.0
431,494,549,506,18-Dec-19,": CS Creamery, PMC, Ch",52.5,11,,0.0,-1,-1.0,0.0
56,549,106,562,Name,Mobile,24.5,12,": CS Creamery, PMC, Ch",274.5,11,24.5,274.5
217,546,494,559,": CS Creamery, PMC, Ch",Address :PMC TN IND,51.5,14,,0.0,-1,-1.0,0.0
54,574,133,586,Mobile,Address :PMC TN IND,24.0,14,:,116.0,13,-1.0,116.0
208,576,211,585,:,Address :PMC TN IND,23.5,14,,0.0,-1,23.5,0.0
55,598,309,610,Address :PMC TN IND,: DARTHANCHHUNGA,24.5,15,,0.0,-1,24.5,0.0
222,620,417,637,: DARTHANCHHUNGA,": G, 11",24.5,16,,0.0,-1,24.5,0.0
233,646,281,660,": G, 11",Sr Barcode/Name,29.0,20,Time : 18:53,227.0,19,-1.0,227.0
56,623,134,635,Server,Table,24.5,18,: DARTHANCHHUNGA,224.5,15,24.5,224.5
56,647,121,660,Table,Sr Barcode/Name,28.5,20,": G, 11",168.5,16,28.5,168.5
406,648,562,658,Time : 18:53,Anount,27.0,23,,0.0,-1,27.0,0.0
57,676,269,688,Sr Barcode/Name,CYO - Love it-150,26.5,24,Qty,259.5,21,26.5,259.5
403,675,442,695,Qty,1.00,23.0,22,Anount,113.5,23,23.0,113.5
381,702,429,714,1.00,1.00,121.5,31,185.00,119.5,25,121.5,119.5
497,674,575,686,Anount,185.00,27.0,25,,0.0,-1,27.0,0.0
112,703,336,714,CYO - Love it-150,SFG CARNIVAL BLUE,49.0,26,1.00,181.0,22,49.0,181.0
487,702,562,712,185.00,145.00,122.0,32,,0.0,-1,122.0,0.0
112,752,337,763,SFG CARNIVAL BLUE,FG CHOCOLATE BROW,24.5,27,,0.0,-1,24.5,0.0
112,776,339,788,FG CHOCOLATE BROW,FG NO WAFFLE,24.5,28,,0.0,-1,24.5,0.0
116,799,272,814,FG NO WAFFLE,CYO - Like It-90,24.0,30,,0.0,-1,24.0,0.0
59,825,68,838,2,6.,198.5,47,CYO - Like It-90,155.0,30,198.5,155.0
113,825,324,836,CYO - Like It-90,SFG COTTON CANDY,25.0,33,1.00,187.5,31,25.0,187.5
382,824,430,835,1.00,1.00,99.5,37,145.00,119.5,32,99.5,119.5
488,823,563,835,145.00,0.00,99.0,38,,0.0,-1,99.0,0.0
113,850,324,861,SFG COTTON CANDY,FG CHOCOLATE BROW,24.0,34,,0.0,-1,24.0,0.0
116,873,340,886,FG CHOCOLATE BROW,FG NO WAFFLE,25.5,35,,0.0,-1,25.5,0.0
113,899,273,911,FG NO WAFFLE,Free Waffle Cone,25.0,36,,0.0,-1,25.0,0.0
114,925,325,935,Free Waffle Cone,Free Waffle Cone,23.5,39,1.00,188.0,37,23.5,188.0
384,923,431,935,1.00,1.00,23.5,40,0.00,142.5,38,23.5,142.5
534,921,566,935,0.00,0.00,24.0,41,,0.0,-1,24.0,0.0
114,948,325,959,Free Waffle Cone,NIE EGGLESS,24.5,42,1.00,187.5,40,24.5,187.5
383,946,431,959,1.00,1.00,51.0,44,0.00,134.5,41,51.0,134.5
516,945,567,959,0.00,1.00,51.5,45,,0.0,-1,51.5,0.0
108,971,259,985,NIE EGGLESS,CH-MAKE A WISH-GS,26.5,43,,0.0,-1,26.5,0.0
113,999,340,1010,CH-MAKE A WISH-GS,EG CHOCOLATE BROW,23.0,48,1.00,181.5,44,23.0,181.5
383,997,433,1010,1.00,14.00,24.5,49,1.00,135.0,45,24.5,135.0
518,996,568,1011,1.00,25.00,25.5,46,,0.0,-1,25.5,0.0
504,1022,569,1036,25.00,356.00,54.5,51,,0.0,-1,54.5,0.0
60,1023,69,1037,6.,CASH,182.0,60,EG CHOCOLATE BROW,164.0,48,182.0,164.0
116,1020,341,1035,EG CHOCOLATE BROW,Sub Total,55.5,50,14.00,173.5,49,55.5,173.5
